pulse_us,angle_deg,valid
1483,89.033,1
1482,88.945,1
1481,88.945,1
1480,89.033,1
1479,88.857,1
1478,88.682,1
1477,88.506,1
1476,88.506,1
1475,88.506,1
1474,88.506,1
1473,88.506,1
1472,88.506,1
1471,88.242,1
1470,88.066,1
1469,87.891,1
1468,87.891,1
1467,87.803,1
1466,87.803,1
1465,87.803,1
1464,87.803,1
1463,87.539,1
1462,87.275,1
1461,87.187,1
1460,87.187,1
1459,87.012,1
1458,86.836,1
1457,86.836,1
1456,86.836,1
1455,86.660,1
1454,86.484,1
1453,86.309,1
1452,86.309,1
1451,86.221,1
1450,86.309,1
1449,86.309,1
1448,86.309,1
1447,86.221,1
1446,85.957,1
1445,85.869,1
1444,85.781,1
1443,85.781,1
1442,85.781,1
1441,85.781,1
1440,85.781,1
1439,85.781,1
1438,85.518,1
1437,85.254,1
1436,85.078,1
1435,85.078,1
1434,84.990,1
1433,84.902,1
1432,84.902,1
1431,84.814,1
1430,84.727,1
1429,84.463,1
1428,84.375,1
1427,84.375,1
1426,84.375,1
1425,84.111,1
1424,84.023,1
1423,84.023,1
1422,83.848,1
1421,83.848,1
1420,83.936,1
1419,83.760,1
1418,83.584,1
1417,83.408,1
1416,83.232,1
1415,83.232,1
1414,83.232,1
1413,83.145,1
1412,82.969,1
1411,82.969,1
1410,82.969,1
1409,82.881,1
1408,82.705,1
1407,82.529,1
1406,82.529,1
1405,82.441,1
1404,82.266,1
1403,82.178,1
1402,82.090,1
1401,82.090,1
1400,82.090,1
1399,82.090,1
1398,81.914,1
1397,81.738,1
1396,81.650,1
1395,81.650,1
1394,81.650,1
1393,81.650,1
1392,81.563,1
1391,81.387,1
1390,81.299,1
1389,81.211,1
1388,80.947,1
1387,80.684,1
1386,80.684,1
1385,80.596,1
1384,80.508,1
1383,80.332,1
1382,80.332,1
1381,80.332,1
1380,80.244,1
1379,80.068,1
1378,80.068,1
1377,80.068,1
1376,80.068,1
1375,79.805,1
1374,79.717,1
1373,79.629,1
1372,79.629,1
1371,79.541,1
1370,79.365,1
1369,79.365,1
1368,79.365,1
1367,79.365,1
1366,79.189,1
1365,79.014,1
1364,78.750,1
1363,78.662,1
1362,78.662,1
1361,78.486,1
1360,78.398,1
1359,78.398,1
1358,78.398,1
1357,78.311,1
1356,78.135,1
1355,78.047,1
1354,77.871,1
1353,77.607,1
1352,77.607,1
1351,77.695,1
1350,77.695,1
1349,77.607,1
1348,77.344,1
1347,77.256,1
1346,77.256,1
1345,77.168,1
1344,76.992,1
1343,76.992,1
1342,76.992,1
1341,76.904,1
1340,76.729,1
1339,76.641,1
1338,76.641,1
1337,76.465,1
1336,76.289,1
1335,76.113,1
1334,76.113,1
1333,76.113,1
1332,76.113,1
1331,76.113,1
1330,76.025,1
1329,75.850,1
1328,75.586,1
1327,75.498,1
1326,75.410,1
1325,75.410,1
1324,75.322,1
1323,75.059,1
1322,75.059,1
1321,75.146,1
1320,75.146,1
1319,74.795,1
1318,74.619,1
1317,74.619,1
1316,74.619,1
1315,74.619,1
1314,74.619,1
1313,74.619,1
1312,74.531,1
1311,74.268,1
1310,74.180,1
1309,74.092,1
1308,74.004,1
1307,73.916,1
1306,73.916,1
1305,73.916,1
1304,73.916,1
1303,73.740,1
1302,73.564,1
1301,73.477,1
1300,73.477,1
1299,73.389,1
1298,73.213,1
1297,73.213,1
1296,73.213,1
1295,73.213,1
1294,72.949,1
1293,72.686,1
1292,72.686,1
1291,72.598,1
1290,72.422,1
1289,72.334,1
1288,72.246,1
1287,72.246,1
1286,72.158,1
1285,71.982,1
1284,71.895,1
1283,71.895,1
1282,71.807,1
1281,71.543,1
1280,71.543,1
1279,71.543,1
1278,71.455,1
1277,71.455,1
1276,71.455,1
1275,71.455,1
1274,71.279,1
1273,71.016,1
1272,70.752,1
1271,70.752,1
1270,70.664,1
1269,70.488,1
1268,70.400,1
1267,70.313,1
1266,70.313,1
1265,70.313,1
1264,70.313,1
1263,70.313,1
1262,70.225,1
1261,70.137,1
1260,69.961,1
1259,69.785,1
1258,69.873,1
1257,69.697,1
1256,69.521,1
1255,69.346,1
1254,69.346,1
1253,69.346,1
1252,69.346,1
1251,69.346,1
1250,69.346,1
1249,69.346,1
1248,69.082,1
1247,68.730,1
