direction,pulse_us,angle_deg,valid
U,500,-3.516,1
U,501,-3.516,1
U,502,-3.516,1
U,503,-3.516,1
U,504,-3.516,1
U,505,-3.516,1
U,506,-3.516,1
U,507,-3.516,1
U,508,-3.516,1
U,509,-3.516,1
U,510,-3.516,1
U,511,-3.516,1
U,512,-3.516,1
U,513,-3.516,1
U,514,-3.252,1
U,515,-2.900,1
U,516,-2.725,1
U,517,-2.461,1
U,518,-2.373,1
U,519,-2.373,1
U,520,-2.285,1
U,521,-2.373,1
U,522,-2.197,1
U,523,-2.021,1
U,524,-2.021,1
U,525,-1.758,1
U,526,-1.582,1
U,527,-1.494,1
U,528,-1.494,1
U,529,-1.494,1
U,530,-1.318,1
U,531,-1.143,1
U,532,-1.143,1
U,533,-1.230,1
U,534,-1.230,1
U,535,-1.055,1
U,536,-0.879,1
U,537,-0.703,1
U,538,-0.791,1
U,539,-0.791,1
U,540,-0.703,1
U,541,-0.439,1
U,542,-0.264,1
U,543,-0.088,1
U,544,0.088,1
U,545,0.176,1
U,546,0.176,1
U,547,0.176,1
U,548,0.439,1
U,549,0.527,1
U,550,0.527,1
U,551,0.615,1
U,552,0.615,1
U,553,0.615,1
U,554,0.791,1
U,555,1.143,1
U,556,1.406,1
U,557,1.406,1
U,558,1.494,1
U,559,1.582,1
U,560,1.758,1
U,561,1.670,1
U,562,1.670,1
U,563,1.670,1
U,564,1.934,1
U,565,2.109,1
U,566,2.197,1
U,567,2.285,1
U,568,2.549,1
U,569,2.637,1
U,570,2.637,1
U,571,2.637,1
U,572,2.637,1
U,573,2.637,1
U,574,2.637,1
U,575,2.725,1
U,576,2.988,1
U,577,3.164,1
U,578,3.340,1
U,579,3.516,1
U,580,3.691,1
U,581,3.604,1
U,582,3.604,1
U,583,3.604,1
U,584,3.604,1
U,585,3.604,1
U,586,3.691,1
U,587,3.955,1
U,588,4.131,1
U,589,4.219,1
U,590,4.219,1
U,591,4.482,1
U,592,4.570,1
U,593,4.482,1
U,594,4.570,1
U,595,5.010,1
U,596,5.361,1
U,597,5.625,1
U,598,5.713,1
U,599,5.713,1
U,600,5.713,1
U,601,5.713,1
U,602,5.713,1
U,603,5.801,1
U,604,6.064,1
U,605,6.240,1
U,606,6.152,1
U,607,6.152,1
U,608,6.240,1
U,609,6.328,1
U,610,6.416,1
U,611,6.416,1
U,612,6.416,1
U,613,6.592,1
U,614,6.680,1
U,615,6.592,1
U,616,6.592,1
U,617,6.680,1
U,618,6.768,1
U,619,7.119,1
U,620,7.471,1
U,621,7.646,1
U,622,7.646,1
U,623,7.559,1
U,624,7.559,1
U,625,7.559,1
U,626,7.822,1
U,627,7.998,1
U,628,8.262,1
U,629,8.350,1
U,630,8.437,1
U,631,8.437,1
U,632,8.437,1
U,633,8.437,1
U,634,8.613,1
U,635,8.789,1
U,636,8.789,1
U,637,8.789,1
U,638,8.877,1
U,639,9.141,1
U,640,9.229,1
U,641,9.229,1
U,642,9.316,1
U,643,9.492,1
U,644,9.492,1
U,645,9.404,1
U,646,9.492,1
U,647,9.756,1
U,648,10.020,1
U,649,10.107,1
U,650,10.283,1
U,651,10.283,1
U,652,10.283,1
U,653,10.283,1
U,654,10.459,1
U,655,10.723,1
U,656,10.811,1
U,657,10.811,1
U,658,10.986,1
U,659,11.162,1
U,660,11.250,1
U,661,11.250,1
U,662,11.250,1
U,663,11.250,1
U,664,11.250,1
U,665,11.250,1
U,666,11.426,1
U,667,11.777,1
U,668,12.041,1
U,669,12.041,1
U,670,12.041,1
U,671,12.129,1
U,672,12.217,1
U,673,12.217,1
U,674,12.217,1
U,675,12.305,1
U,676,12.305,1
U,677,12.305,1
U,678,12.305,1
U,679,12.305,1
U,680,12.568,1
U,681,12.744,1
U,682,12.656,1
U,683,12.832,1
U,684,13.271,1
U,685,13.711,1
U,686,13.887,1
U,687,14.238,1
U,688,14.414,1
U,689,14.414,1
U,690,14.414,1
U,691,14.414,1
U,692,14.414,1
U,693,14.414,1
U,694,14.414,1
U,695,14.502,1
U,696,14.590,1
U,697,14.590,1
U,698,14.678,1
U,699,14.854,1
U,700,15.029,1
U,701,15.029,1
U,702,15.029,1
U,703,15.029,1
U,704,15.205,1
U,705,15.469,1
U,706,15.557,1
U,707,15.557,1
U,708,15.557,1
U,709,15.645,1
U,710,15.732,1
U,711,15.732,1
U,712,15.732,1
U,713,15.908,1
U,714,16.084,1
U,715,15.996,1
U,716,15.996,1
U,717,16.172,1
U,718,16.436,1
U,719,16.523,1
U,720,16.523,1
U,721,16.787,1
U,722,17.051,1
U,723,17.227,1
U,724,17.314,1
U,725,17.402,1
U,726,17.490,1
U,727,17.402,1
U,728,17.402,1
U,729,17.402,1
U,730,17.578,1
U,731,17.842,1
U,732,18.105,1
U,733,18.105,1
U,734,18.193,1
U,735,18.281,1
U,736,18.281,1
U,737,18.281,1
U,738,18.457,1
U,739,18.633,1
U,740,18.721,1
U,741,18.721,1
U,742,18.896,1
U,743,19.072,1
U,744,19.072,1
U,745,18.984,1
U,746,18.984,1
U,747,19.248,1
U,748,19.600,1
U,749,19.863,1
U,750,19.951,1
U,751,19.951,1
U,752,20.039,1
U,753,20.391,1
U,754,20.566,1
U,755,20.654,1
U,756,20.742,1
U,757,20.830,1
U,758,20.918,1
U,759,20.918,1
U,760,20.830,1
U,761,20.830,1
U,762,20.830,1
U,763,20.830,1
U,764,21.006,1
U,765,21.182,1
U,766,21.357,1
U,767,21.357,1
U,768,21.533,1
U,769,21.709,1
U,770,21.797,1
U,771,21.885,1
U,772,22.061,1
U,773,22.061,1
U,774,22.061,1
U,775,22.061,1
U,776,22.148,1
U,777,22.324,1
U,778,22.412,1
U,779,22.324,1
U,780,22.500,1
U,781,22.764,1
U,782,22.852,1
U,783,22.764,1
U,784,22.764,1
U,785,22.764,1
U,786,22.939,1
U,787,23.203,1
U,788,23.291,1
U,789,23.291,1
U,790,23.379,1
U,791,23.643,1
U,792,23.818,1
U,793,23.730,1
U,794,23.730,1
U,795,23.994,1
U,796,24.170,1
U,797,24.258,1
U,798,24.258,1
U,799,24.258,1
U,800,24.521,1
U,801,24.697,1
U,802,24.697,1
U,803,24.785,1
U,804,24.873,1
U,805,24.873,1
U,806,24.873,1
U,807,24.961,1
U,808,25.049,1
U,809,25.312,1
U,810,25.488,1
