condition,target_us,trial,anchor,angle_deg,valid
N,600,0,L,5.244,1
C,600,0,L,5.449,1
N,600,1,H,6.152,1
C,600,1,H,5.449,1
N,600,2,L,5.449,1
C,600,2,L,5.449,1
N,600,3,H,6.328,1
C,600,3,H,5.449,1
N,600,4,L,5.449,1
C,600,4,L,5.449,1
N,600,5,H,6.064,1
C,600,5,H,5.449,1
N,600,6,L,5.449,1
C,600,6,L,5.449,1
N,600,7,H,6.328,1
C,600,7,H,5.449,1
N,600,8,L,5.449,1
C,600,8,L,5.449,1
N,600,9,H,6.328,1
C,600,9,H,5.449,1
N,900,0,L,34.189,1
C,900,0,L,34.189,1
N,900,1,H,34.717,1
C,900,1,H,34.014,1
N,900,2,L,34.277,1
C,900,2,L,34.189,1
N,900,3,H,34.717,1
C,900,3,H,34.014,1
N,900,4,L,34.189,1
C,900,4,L,34.189,1
N,900,5,H,34.717,1
C,900,5,H,34.014,1
N,900,6,L,34.014,1
C,900,6,L,34.189,1
N,900,7,H,34.893,1
C,900,7,H,34.014,1
N,900,8,L,34.014,1
C,900,8,L,34.189,1
N,900,9,H,34.717,1
C,900,9,H,34.014,1
N,1200,0,L,63.896,1
C,1200,0,L,63.896,1
N,1200,1,H,64.160,1
C,1200,1,H,63.457,1
N,1200,2,L,63.721,1
C,1200,2,L,63.896,1
N,1200,3,H,64.072,1
C,1200,3,H,63.633,1
N,1200,4,L,63.633,1
C,1200,4,L,63.896,1
N,1200,5,H,64.160,1
C,1200,5,H,63.633,1
N,1200,6,L,63.633,1
C,1200,6,L,63.896,1
N,1200,7,H,64.072,1
C,1200,7,H,63.604,1
N,1200,8,L,63.633,1
C,1200,8,L,63.809,1
N,1200,9,H,64.072,1
C,1200,9,H,63.574,1
N,1500,0,L,90.176,1
C,1500,0,L,90.264,1
N,1500,1,H,90.176,1
C,1500,1,H,90.205,1
N,1500,2,L,90.264,1
C,1500,2,L,90.176,1
N,1500,3,H,90.234,1
C,1500,3,H,90.205,1
N,1500,4,L,90.264,1
C,1500,4,L,90.176,1
N,1500,5,H,90.000,1
C,1500,5,H,90.000,1
N,1500,6,L,90.264,1
C,1500,6,L,90.205,1
N,1500,7,H,90.176,1
C,1500,7,H,90.000,1
N,1500,8,L,90.264,1
C,1500,8,L,90.176,1
N,1500,9,H,90.264,1
C,1500,9,H,90.176,1
N,1800,0,L,116.631,1
C,1800,0,L,116.631,1
N,1800,1,H,116.895,1
C,1800,1,H,116.689,1
N,1800,2,L,116.631,1
C,1800,2,L,116.807,1
N,1800,3,H,116.807,1
C,1800,3,H,116.455,1
N,1800,4,L,116.631,1
C,1800,4,L,116.631,1
N,1800,5,H,116.895,1
C,1800,5,H,116.631,1
N,1800,6,L,116.631,1
C,1800,6,L,116.572,1
N,1800,7,H,116.807,1
C,1800,7,H,116.631,1
N,1800,8,L,116.631,1
C,1800,8,L,116.631,1
N,1800,9,H,116.807,1
C,1800,9,H,116.455,1
N,2100,0,L,143.555,1
C,2100,0,L,143.525,1
N,2100,1,H,143.525,1
C,2100,1,H,143.525,1
N,2100,2,L,143.672,1
C,2100,2,L,143.525,1
N,2100,3,H,143.525,1
C,2100,3,H,143.525,1
N,2100,4,L,143.525,1
C,2100,4,L,143.789,1
N,2100,5,H,143.467,1
C,2100,5,H,143.525,1
N,2100,6,L,143.730,1
C,2100,6,L,143.760,1
N,2100,7,H,143.701,1
C,2100,7,H,143.525,1
N,2100,8,L,143.643,1
C,2100,8,L,143.525,1
N,2100,9,H,143.437,1
C,2100,9,H,143.525,1
N,2400,0,L,170.684,1
C,2400,0,L,170.684,1
N,2400,1,H,171.182,1
C,2400,1,H,170.684,1
N,2400,2,L,170.508,1
C,2400,2,L,170.684,1
N,2400,3,H,171.123,1
C,2400,3,H,170.684,1
N,2400,4,L,170.684,1
C,2400,4,L,170.508,1
N,2400,5,H,171.211,1
C,2400,5,H,170.508,1
N,2400,6,L,170.684,1
C,2400,6,L,170.684,1
N,2400,7,H,171.035,1
C,2400,7,H,170.508,1
N,2400,8,L,170.684,1
C,2400,8,L,170.684,1
N,2400,9,H,171.182,1
C,2400,9,H,171.152,1
